iter	Passed	Remaining
0	151	30129
1	164	16261
2	177	11659
3	192	9452
4	207	8109
5	222	7200
6	239	6601
7	252	6058
8	266	5653
9	279	5313
10	292	5022
11	305	4787
12	318	4580
13	331	4403
14	344	4245
15	357	4116
16	370	3992
17	383	3876
18	396	3778
19	413	3721
20	429	3662
21	450	3643
22	466	3588
23	482	3536
24	496	3473
25	508	3402
26	522	3345
27	535	3287
28	548	3232
29	560	3176
30	573	3125
31	586	3076
32	598	3027
33	611	2984
34	624	2945
35	639	2911
36	653	2879
37	667	2846
38	680	2810
39	697	2788
40	712	2761
41	730	2748
42	745	2720
43	758	2690
44	771	2658
45	784	2627
46	797	2595
47	809	2564
48	822	2534
49	834	2503
50	847	2475
51	861	2451
52	873	2423
53	887	2398
54	899	2371
55	911	2344
56	923	2317
57	936	2291
58	948	2266
59	961	2242
60	974	2219
61	986	2195
62	999	2173
63	1012	2151
64	1025	2129
65	1037	2105
66	1049	2082
67	1062	2062
68	1075	2041
69	1088	2021
70	1101	2001
71	1113	1980
72	1128	1962
73	1141	1943
74	1155	1925
75	1170	1910
76	1184	1891
77	1197	1873
78	1210	1853
79	1223	1835
80	1236	1817
81	1251	1800
82	1264	1782
83	1277	1764
84	1289	1744
85	1302	1726
86	1315	1709
87	1329	1692
88	1341	1673
89	1354	1655
90	1368	1638
91	1380	1621
92	1393	1602
93	1406	1586
94	1418	1567
95	1431	1550
96	1445	1535
97	1459	1518
98	1479	1509
99	1498	1498
100	1514	1484
101	1528	1468
102	1541	1451
103	1554	1434
104	1567	1418
105	1580	1401
106	1593	1384
107	1606	1368
108	1618	1351
109	1633	1336
110	1646	1320
111	1663	1306
112	1682	1295
113	1697	1280
114	1711	1264
115	1725	1249
116	1737	1232
117	1750	1216
118	1763	1200
119	1776	1184
120	1790	1169
121	1807	1155
122	1825	1142
123	1841	1128
124	1855	1113
125	1868	1097
126	1880	1080
127	1892	1064
128	1904	1048
129	1916	1032
130	1927	1015
131	1939	999
132	1951	982
133	1963	966
134	1974	950
135	1987	935
136	1999	919
137	2011	903
138	2023	887
139	2034	872
140	2046	856
141	2059	841
142	2071	825
143	2085	811
144	2100	796
145	2112	781
146	2126	766
147	2145	753
148	2160	739
149	2174	724
150	2186	709
151	2198	694
152	2209	678
153	2221	663
154	2234	648
155	2245	633
156	2258	618
157	2272	604
158	2284	589
159	2296	574
160	2309	559
161	2321	544
162	2333	529
163	2344	514
164	2356	499
165	2368	485
166	2380	470
167	2392	455
168	2404	441
169	2416	426
170	2428	411
171	2440	397
172	2453	382
173	2465	368
174	2477	353
175	2490	339
176	2503	325
177	2515	310
178	2528	296
179	2539	282
180	2559	268
181	2573	254
182	2588	240
183	2605	226
184	2619	212
185	2635	198
186	2649	184
187	2661	169
188	2673	155
189	2685	141
190	2697	127
191	2710	112
192	2722	98
193	2734	84
194	2746	70
195	2759	56
196	2770	42
197	2782	28
198	2794	14
199	2806	0
